,item_id,cuisine_tag,item_name,item_price,merchant_id,ingredients
23,24,Japanese,Spicy Salmon Roll,7.0,5b8d2,"[    ""Rice"",    ""Salmon"",    ""Nori"",    ""Mayonnaise"",    ""Chili Sauce"",    ""Avocado"",    ""Cucumber"",    ""Sesame Seeds"",    ""Rice Vinegar"",    ""Sugar"",    ""Salt""]"
24,25,Japanese,Shoyu Ramen,9.25,4f0c5,"[""Chicken broth"",""Soy sauce"",""Ramen noodles"",""Pork"",""Eggs"",""Green onions"",""Nori"",""Bamboo shoots"",""Ginger"",""Garlic"",""Onion"",""Mirin"",""Sake""]"
25,26,Japanese,Unagi Nigiri (2 pcs),5.5,a9f4e,"[""Cooked Eel"",""Sushi Rice"",""Sweet Soy Sauce""]"
26,27,Korean,Spicy Tofu Stew (Soondubu),9.5,2d7a9,"[  ""Tofu"",  ""Pork"",  ""Clams"",  ""Shrimp"",  ""Kimchi"",  ""Onion"",  ""Green Onion"",  ""Garlic"",  ""Chili Powder"",  ""Chili Paste"",  ""Soy Sauce"",  ""Sesame Oil"",  ""Egg"",  ""Water""]"
27,28,Tex-Mex,Chili Dog,6.75,6d0f7,"[  ""Hot Dog"",  ""Hot Dog Bun"",  ""Chili"",  ""Cheese"",  ""Onion"",  ""Mustard""]"
28,29,Vietnamese,Pho Ga (Chicken Pho),8.5,1d4f2,"[    ""Chicken"",    ""Water"",    ""Onion"",    ""Ginger"",    ""Star Anise"",    ""Cloves"",    ""Cinnamon Stick"",    ""Coriander Seeds"",    ""Black Peppercorns"",    ""Salt"",    ""Sugar"",    ""Fish Sauce"",    ""Rice Noodles"",    ""Bean Sprouts"",    ""Thai Basil"",    ""Cilantro"",    ""Green Onions"",    ""Lime"",    ""Chili Peppers""]"
29,30,Japanese,Avocado Cucumber Roll,6.0,5b8d2,"[    ""Nori Sheets"",    ""Rice"",    ""Avocado"",    ""Cucumber"",    ""Sesame Seeds"",    ""Soy Sauce""]"
30,31,Side,Fries,2.5,2e8a5,"[  ""Potatoes"",  ""Oil"",  ""Salt""]"
31,32,Asian,Noodle Stir Fry with Chicken,9.0,b7a3e,"[""Egg Noodles"",""Chicken Breast"",""Soy Sauce"",""Oyster Sauce"",""Sesame Oil"",""Sugar"",""Ginger"",""Garlic"",""Onion"",""Carrot"",""Bell Pepper"",""Broccoli"",""Vegetable Oil""]"
32,33,French,Duck Confit,14.75,2f3d7,"[  ""Duck Legs"",  ""Salt"",  ""Garlic"",  ""Thyme"",  ""Bay Leaf"",  ""Duck Fat"",  ""Black Pepper""]"
33,34,Mediterranean,Falafel Wrap,7.5,d1e9b,"[    ""Falafel"",    ""Pita Bread"",    ""Tomato"",    ""Cucumber"",    ""Lettuce"",    ""Onion"",    ""Tahini""]"
34,35,Breakfast,Blueberry Pancakes,6.75,3c7e9,"[    ""Flour"",    ""Sugar"",    ""Baking Powder"",    ""Salt"",    ""Milk"",    ""Egg"",    ""Butter"",    ""Blueberries""]"
35,36,Dessert,Strawberry Frosted Donut,2.0,3b7f0,"[""Flour"",""Sugar"",""Yeast"",""Milk"",""Egg"",""Butter"",""Salt"",""Vanilla Extract"",""Powdered Sugar"",""Strawberry""]"
36,37,Side,Stuffed Grape Leaves,4.0,6a9c1,"[    ""Grape Leaves"",    ""Rice"",    ""Ground Meat"",    ""Onion"",    ""Parsley"",    ""Mint"",    ""Dill"",    ""Lemon"",    ""Olive Oil"",    ""Salt"",    ""Pepper"",    ""Tomato""]"
37,38,Indian,Jeera Rice,2.75,b2d8e,"[  ""Rice"",  ""Cumin Seeds"",  ""Oil"",  ""Onion"",  ""Green Chili"",  ""Ginger"",  ""Salt"",  ""Water""]"
38,39,Side,Grilled Asparagus,4.0,4a3e6,"[  ""Asparagus"",  ""Olive Oil"",  ""Salt"",  ""Pepper""]"
39,40,Seafood,Garlic Butter Shrimp,12.0,a6c9f,"[    ""Shrimp"",    ""Garlic"",    ""Butter"",    ""Salt"",    ""Pepper"",    ""Parsley"",    ""Lemon"",    ""Red Pepper Flakes""]"
40,41,Breakfast,Nutella Banana Waffle,7.5,5d9e3,"['Flour','Sugar','Baking powder','Salt','Egg','Milk','Butter','Nutella','Banana']"
41,42,Indian,Chicken Tikka Masala,10.5,b2d8e,"[    ""Chicken"",    ""Yogurt"",    ""Ginger"",    ""Garlic"",    ""Lemon"",    ""Turmeric"",    ""Cumin"",    ""Coriander"",    ""Chili Powder"",    ""Garam Masala"",    ""Onion"",    ""Tomato"",    ""Butter"",    ""Cream"",    ""Paprika"",    ""Kasuri Methi"",    ""Sugar"",    ""Salt"",    ""Oil""]"
42,43,Indian,Lamb Curry,11.75,6a0c3,"[    ""Lamb"",    ""Onion"",    ""Tomato"",    ""Ginger"",    ""Garlic"",    ""Cooking oil"",    ""Turmeric"",    ""Cumin"",    ""Coriander"",    ""Chili powder"",    ""Garam Masala"",    ""Salt"",    ""Water"",    ""Yogurt"",    ""Cilantro""]"
43,44,Beverage,Plum Soda,2.75,3d9c8,"[""Plum"",""Soda Water"",""Sugar"",""Lemon""]"
44,45,Japanese,Ebi Tempura Roll,7.25,8f2a6,"[    ""Shrimp"",    ""Flour"",    ""Egg"",    ""Water"",    ""Oil"",    ""Sushi Rice"",    ""Rice Vinegar"",    ""Sugar"",    ""Salt"",    ""Nori Seaweed"",    ""Avocado"",    ""Cucumber"",    ""Mayonnaise""]"
45,46,Healthy,Spinach & Strawberry Salad,8.25,9f6b0,"[  ""Spinach"",  ""Strawberries"",  ""Feta cheese"",  ""Red onion"",  ""Almonds"",  ""Olive oil"",  ""Balsamic vinegar"",  ""Salt"",  ""Pepper""]"
46,47,American,Caprese Baguette,7.75,0c6e4,"[  ""Baguette"",  ""Tomatoes"",  ""Mozzarella Cheese"",  ""Basil"",  ""Olive Oil"",  ""Balsamic Vinegar"",  ""Salt"",  ""Pepper""]"
47,48,Contemporary,Seared Tuna Steak,14.0,4a3e6,"[    ""Tuna Steak"",    ""Olive Oil"",    ""Salt"",    ""Black Pepper"",    ""Sesame Seeds"",    ""Soy Sauce"",    ""Lemon"",    ""Ginger"",    ""Garlic"",    ""Green Onion""]"
48,49,BBQ,BBQ Ribs Full Rack,18.0,e8c2b,"[    ""Pork Ribs"",    ""Tomato Sauce"",    ""Brown Sugar"",    ""Apple Cider Vinegar"",    ""Paprika"",    ""Garlic Powder"",    ""Onion Powder"",    ""Salt"",    ""Black Pepper"",    ""Chili Powder"",    ""Worcestershire Sauce""]"
49,50,Beverage,Chai Latte,3.0,8b7a3,"[  ""Black Tea"",  ""Milk"",  ""Water"",  ""Cinnamon"",  ""Cardamom"",  ""Ginger"",  ""Cloves"",  ""Black Pepper"",  ""Sugar""]"
50,51,Korean,Spicy Pork Belly BBQ,13.0,c5a8e,"[    ""Pork Belly"",    ""Chili Flakes"",    ""BBQ Sauce"",    ""Brown Sugar"",    ""Soy Sauce"",    ""Garlic"",    ""Ginger"",    ""Onion"",    ""Rice Vinegar"",    ""Sesame Oil"",    ""Sesame Seeds"",    ""Green Onion""]"
51,52,Mexican,Spicy Chicken Burrito,8.75,9f4a2,"[    ""Chicken"",    ""Tortillas"",    ""Rice"",    ""Black Beans"",    ""Onion"",    ""Tomato"",    ""Lettuce"",    ""Cheese"",    ""Salsa"",    ""Sour Cream"",    ""Chili Powder"",    ""Jalapeno"",    ""Oil""]"
52,53,Tea,Jasmine Tea Pot,2.5,7d4e1,"[  ""Jasmine Tea"",  ""Water""]"
53,54,Chinese,Beef & Onion Dumplings (8),6.25,b0e7f,"[""Ground Beef"",""Onion"",""Dumpling Wrappers"",""Soy Sauce"",""Ginger"",""Garlic"",""Sesame Oil"",""Salt"",""Pepper"",""Green Onion""]"
54,55,Hawaiian,Spicy Salmon Poke,10.75,4a7c1,"[    ""Salmon"",    ""Rice"",    ""Avocado"",    ""Cucumber"",    ""Green Onion"",    ""Seaweed"",    ""Sesame Seeds"",    ""Mayonnaise"",    ""Sriracha"",    ""Soy Sauce"",    ""Lime"",    ""Ginger""]"
55,56,Vegetarian,Lentil Shepherd’s Pie,9.0,9a8c5,"[    ""Lentils"",    ""Onion"",    ""Carrot"",    ""Celery"",    ""Tomato Paste"",    ""Vegetable Broth"",    ""Thyme"",    ""Rosemary"",    ""Bay Leaf"",    ""Worcestershire Sauce"",    ""Salt"",    ""Pepper"",    ""Potatoes"",    ""Milk"",    ""Butter"",    ""Cheese""]"
56,57,Side,Mac & Cheese,3.5,e8c2b,"[  ""Macaroni"",  ""Cheese"",  ""Milk"",  ""Butter"",  ""Flour"",  ""Salt"",  ""Pepper""]"
57,58,Burgers,Bacon Mushroom Burger,8.5,2e8a5,"[    ""Beef Patty"",    ""Buns"",    ""Bacon"",    ""Mushrooms"",    ""Cheese"",    ""Lettuce"",    ""Tomato"",    ""Onion"",    ""Mayonnaise"",    ""Ketchup""]"
58,59,American,Chicago Dog,4.5,d3b6a,"[""Poppy seed bun"",""All-beef hot dog"",""Yellow mustard"",""White onion"",""Sweet pickle relish"",""Dill pickle spear"",""Tomato"",""Sport peppers"",""Celery salt""]"
59,60,Healthy,Roasted Veggie Salad Bowl,8.25,4d9f1,"[    ""Broccoli"",    ""Carrots"",    ""Bell Pepper"",    ""Onion"",    ""Zucchini"",    ""Sweet Potato"",    ""Lettuce"",    ""Tomato"",    ""Cucumber"",    ""Avocado"",    ""Cheese"",    ""Olives"",    ""Chickpeas"",    ""Olive Oil"",    ""Vinegar"",    ""Lemon"",    ""Herbs""]"
60,61,Japanese,California Roll,6.5,8f2a6,"[  ""Sushi rice"",  ""Nori sheets"",  ""Imitation crab meat"",  ""Avocado"",  ""Cucumber"",  ""Rice vinegar"",  ""Sugar"",  ""Salt"",  ""Sesame seeds""]"
61,62,Mexican,Barbacoa Soft Tacos,7.75,a5c3b,"[""Beef"",""Onions"",""Garlic"",""Chipotle Peppers"",""Cumin"",""Oregano"",""Cloves"",""Bay Leaves"",""Apple Cider Vinegar"",""Beef Broth"",""Soft Tortillas"",""Cilantro"",""Lime"",""Salsa"",""Tomato"",""Lettuce"",""Cheese"",""Avocado"",""Sour Cream""]"
62,63,Side,Sautéed Mushrooms,3.25,4c9a2,"[  ""Mushrooms"",  ""Butter"",  ""Olive Oil"",  ""Garlic"",  ""Onion"",  ""Salt"",  ""Pepper"",  ""Parsley""]"
63,64,Side,Potato Wedges,3.0,0c2d7,"[  ""Potato"",  ""Oil"",  ""Salt"",  ""Pepper"",  ""Paprika"",  ""Garlic Powder""]"
64,65,Japanese,Spicy Chicken Teriyaki,9.0,3d9c8,"[""Chicken"",""Soy sauce"",""Mirin"",""Sugar"",""Ginger"",""Garlic"",""Sesame oil"",""Cornstarch"",""Red pepper flakes"",""Green onion"",""Rice""]"
65,66,Breakfast,Chocolate Chip Pancakes,6.75,3c7e9,"[""Flour"",""Sugar"",""Baking Powder"",""Salt"",""Milk"",""Egg"",""Butter"",""Chocolate Chips""]"
66,67,Burgers,Vegan Black Bean Burger,8.0,0c5d8,"[""Black Beans"",""Burger Buns"",""Onion"",""Garlic"",""Spices"",""Breadcrumbs"",""Olive Oil"",""Tomato"",""Lettuce"",""Pickles"",""Avocado"",""Vegan Cheese"",""Ketchup"",""Mustard""]"
67,68,American,Garlic Parmesan Wings (6 pcs),7.75,8d5f9,"[    ""Chicken Wings"",    ""Garlic"",    ""Parmesan Cheese"",    ""Butter"",    ""Cooking Oil"",    ""Salt"",    ""Pepper""]"
68,69,Mexican,Birria Quesa Tacos,9.25,7d3c1,"[    ""Beef"",    ""Dried chiles"",    ""Tomatoes"",    ""Onion"",    ""Garlic"",    ""Cumin"",    ""Oregano"",    ""Bay leaves"",    ""Cloves"",    ""Cinnamon"",    ""Broth"",    ""Vinegar"",    ""Corn tortillas"",    ""Cheese"",    ""Cilantro"",    ""Lime""]"
69,70,Mediterranean,Grilled Chicken Shawarma Plate,9.25,8e9a0,"[    ""Chicken"",    ""Shawarma Spices"",    ""Olive Oil"",    ""Lemon Juice"",    ""Yogurt"",    ""Garlic"",    ""Onion"",    ""Pita Bread"",    ""Rice"",    ""Tomato"",    ""Cucumber"",    ""Lettuce"",    ""Parsley"",    ""Tahini Sauce"",    ""Garlic Sauce"",    ""Hot Sauce"",    ""Pickled Cucumbers"",    ""Pickled Turnips"",    ""Hummus"",    ""Lemon""]"
70,71,Asian,Vegetable Chow Mein,8.0,1a3f7,"[""Noodles"",""Cabbage"",""Carrots"",""Bell Pepper"",""Onion"",""Garlic"",""Ginger"",""Mushrooms"",""Soy Sauce"",""Sesame Oil"",""Cooking Oil""]"
71,72,Tex-Mex,Spicy Turkey Chili,7.0,9d5f2,"[    ""Ground Turkey"",    ""Onion"",    ""Bell Pepper"",    ""Jalapeno"",    ""Garlic"",    ""Olive Oil"",    ""Chili Powder"",    ""Cumin"",    ""Oregano"",    ""Cayenne Pepper"",    ""Tomato Paste"",    ""Tomato Sauce"",    ""Kidney Beans"",    ""Black Beans"",    ""Chicken Broth""]"
72,73,Seafood,Beer-Battered Haddock,11.0,9b4c2,"[  ""Haddock"",  ""Flour"",  ""Beer"",  ""Salt"",  ""Pepper"",  ""Oil""]"
73,74,Dessert,Mini Donuts,4.0,5c1f8,"[""Flour"",""Sugar"",""Baking"",""Salt"",""Eggs"",""Milk"",""Butter"",""Vanilla""]"
74,75,Burgers,Truffle Burger,11.0,4e2d1,"[    ""Ground Beef"",    ""Burger Buns"",    ""Truffle Oil"",    ""Cheese"",    ""Lettuce"",    ""Tomato"",    ""Onion"",    ""Mayonnaise""]"
75,76,Side,Pickled Cabbage,2.0,7f2c1,"[""Cabbage"",""Vinegar"",""Salt"",""Sugar"",""Water"",""Caraway Seeds""]"
76,77,Thai,Pineapple Fried Rice,9.25,f1c7a,"[    ""Rice"",    ""Pineapple"",    ""Chicken"",    ""Egg"",    ""Onion"",    ""Garlic"",    ""Carrot"",    ""Green peas"",    ""Soy sauce"",    ""Oil"",    ""Scallions""]"
77,78,Thai,Green Curry with Jasmine Rice,9.5,7a8e0,"[    ""Jasmine Rice"",    ""Water"",    ""Green Curry Paste"",    ""Coconut Milk"",    ""Chicken"",    ""Bamboo Shoots"",    ""Eggplant"",    ""Green Beans"",    ""Bell Pepper"",    ""Peas"",    ""Fish Sauce"",    ""Sugar"",    ""Basil"",    ""Lime"",    ""Oil""]"
78,79,Side,Rainbow Slaw,3.25,9a8c5,"[    ""Red Cabbage"",    ""Green Cabbage"",    ""Carrot"",    ""Red Bell Pepper"",    ""Yellow Bell Pepper"",    ""Orange Bell Pepper"",    ""Red Onion"",    ""Apple""]"
79,80,Italian,Margherita Personal Pizza,7.5,3f7e4,"[  ""Dough"",  ""Tomato"",  ""Cheese"",  ""Basil"",  ""Oil"",  ""Salt""]"
80,81,Chinese,Fried Shrimp Dumplings (6),6.5,b0e7f,"[""Dumpling Wrappers"",""Shrimp"",""Ginger"",""Garlic"",""Soy Sauce"",""Sesame Oil"",""Green Onion"",""Cornstarch"",""White Pepper"",""Salt"",""Vegetable Oil""]"
81,82,Indian,Lamb Rogan Josh,11.0,b9e8c,"[    ""Lamb"",    ""Onion"",    ""Tomato"",    ""Ginger"",    ""Garlic"",    ""Yogurt"",    ""Dried Kashmiri Chillies"",    ""Fennel Seeds"",    ""Cumin Seeds"",    ""Coriander Powder"",    ""Turmeric Powder"",    ""Garam Masala"",    ""Bay Leaves"",    ""Green Cardamom"",    ""Black Cardamom"",    ""Cloves"",    ""Cinnamon Stick"",    ""Cooking Oil"",    ""Fresh Coriander Leaves""]"
82,83,Indian,Butter Chicken,10.25,a3e8b,"[    ""Chicken"",    ""Yogurt"",    ""Ginger"",    ""Garlic"",    ""Lemon"",    ""Turmeric"",    ""Red Chili Powder"",    ""Garam Masala"",    ""Coriander Powder"",    ""Cumin Powder"",    ""Butter"",    ""Onion"",    ""Tomato"",    ""Cashews"",    ""Dried Fenugreek Leaves"",    ""Cream"",    ""Sugar"",    ""Salt""]"
83,84,Breakfast,Smoked Salmon Bagel,7.0,3e2b6,"[    ""Bagel"",    ""Smoked Salmon"",    ""Cream Cheese"",    ""Tomato"",    ""Red Onion"",    ""Capers"",    ""Lemon"",    ""Lettuce"",    ""Dill""]"
84,85,Beverage,Kombucha,3.75,5b3d8,"[  ""SCOBY"",  ""Starter Tea"",  ""Tea"",  ""Sugar"",  ""Water""]"
85,86,Mediterranean,Falafel & Couscous Bowl,8.75,1f5b7,"[    ""Chickpeas"",    ""Onion"",    ""Garlic"",    ""Parsley"",    ""Cilantro"",    ""Cumin"",    ""Coriander"",    ""Salt"",    ""Pepper"",    ""Baking Powder"",    ""Flour"",    ""Oil"",    ""Couscous"",    ""Vegetable Broth"",    ""Lettuce"",    ""Tomato"",    ""Cucumber"",    ""Red Onion"",    ""Bell Pepper"",    ""Carrot"",    ""Feta Cheese"",    ""Olives"",    ""Pickles"",    ""Hummus"",    ""Tahini"",    ""Lemon"",    ""Olive Oil""]"
86,87,Beverage,Sangria (non-alcoholic),3.5,2a3e9,"[""Grape juice"",""Orange"",""Lemon"",""Apple"",""Strawberry"",""Sugar"",""Sparkling water""]"
87,88,Beverage,Coconut Water,3.5,3b1c6,['Coconut']
88,89,Breakfast,Classic French Toast,6.5,6f1c4,"[  ""Bread"",  ""Eggs"",  ""Milk"",  ""Sugar"",  ""Butter"",  ""Cinnamon"",  ""Vanilla extract""]"
89,90,Dessert,Cherry Pie,4.75,9c8e2,"[""Flour"",""Butter"",""Water"",""Salt"",""Cherries"",""Sugar"",""Cornstarch"",""Lemon""]"
90,91,Side,Cheesy Breadsticks,4.0,3f7e4,"[  ""Flour"",  ""Water"",  ""Yeast"",  ""Salt"",  ""Sugar"",  ""Oil"",  ""Cheese"",  ""Butter"",  ""Garlic Powder"",  ""Italian Seasoning""]"
91,92,Japanese,Tempura Udon,8.25,5b8d2,"[""Udon Noodles"",""Shrimp"",""Sweet Potato"",""Eggplant"",""Green Beans"",""Onion"",""Flour"",""Ice Water"",""Vegetable Oil"",""Dashi"",""Soy Sauce"",""Mirin"",""Sugar"",""Water"",""Green Onions""]"
92,93,Vietnamese,House Special Pho,9.75,c8d3e,"[    ""Beef broth"",    ""Rice noodles"",    ""Beef"",    ""Beef brisket"",    ""Beef tendon"",    ""Beef tripe"",    ""Beef meatballs"",    ""Onion"",    ""Ginger"",    ""Star anise"",    ""Cinnamon stick"",    ""Fish sauce"",    ""Salt"",    ""Sugar"",    ""Bean sprouts"",    ""Thai basil"",    ""Cilantro"",    ""Mint"",    ""Lime"",    ""Jalapeno"",    ""Hoisin sauce"",    ""Sriracha""]"
93,94,Filipino,Pancit Sotanghon,8.25,8f7c2,"[    ""Sotanghon Noodles"",    ""Chicken Breast"",    ""Carrot"",    ""Cabbage"",    ""Celery Stalk"",    ""Onion"",    ""Garlic Cloves"",    ""Soy Sauce"",    ""Cooking Oil"",    ""Water"",    ""Salt"",    ""Green Onions""]"
94,95,Japanese,Spicy Miso Ramen,9.75,4f0c5,"[""Miso"",""Chicken Stock"",""Soy Sauce"",""Cooking Wine"",""Chili Paste"",""Ramen Noodles"",""Egg"",""Pork"",""Green Onions"",""Seaweed"",""Corn"",""Bean Sprouts""]"
95,96,Contemporary,Gourmet Grilled Cheese,8.0,b0a4f,"[""Bread"",""Cheese"",""Butter"",""Tomato"",""Onion"",""Arugula""]"
96,97,Mexican,Breakfast Burrito,7.5,9f4a2,"[    ""Tortilla"",    ""Eggs"",    ""Cheese"",    ""Bacon"",    ""Potato"",    ""Onion"",    ""Bell Pepper"",    ""Tomato"",    ""Salsa"",    ""Avocado"",    ""Sour Cream"",    ""Cooking Oil"",    ""Salt"",    ""Pepper""]"
97,98,Breakfast,Classic Bagel with Cream Cheese,4.5,3e2b6,"[  ""Bagel"",  ""Cream Cheese""]"
98,99,Japanese,Salmon Teriyaki,10.0,3d9c8,"[  ""Salmon Fillet"",  ""Soy Sauce"",  ""Mirin"",  ""Sugar"",  ""Rice Wine"",  ""Ginger"",  ""Garlic"",  ""Vegetable Oil"",  ""Sesame Seeds"",  ""Green Onion""]"
99,100,American,Chili Cheese Dog,5.0,a4f0b,"[  ""Hot Dogs"",  ""Hot Dog Buns"",  ""Chili"",  ""Cheese"",  ""Onions""]"
100,101,Seafood,Classic Fish & Chips,10.0,5f1d3,"[    ""Cod"",    ""Flour"",    ""Baking Powder"",    ""Water"",    ""Salt"",    ""Pepper"",    ""Potatoes"",    ""Oil"",    ""Lemon"",    ""Vinegar""]"
101,102,Burgers,Spicy Jalapeno Burger,9.0,4e2d1,"[    ""Ground Beef"",    ""Burger Buns"",    ""Cheddar Cheese"",    ""Tomato"",    ""Lettuce"",    ""Red Onion"",    ""Jalapenos"",    ""Mayonnaise"",    ""Salt"",    ""Black Pepper"",    ""Garlic Powder"",    ""Onion Powder""]"
102,103,Japanese,Spicy Tuna Roll,7.5,b3e8f,"[    ""Rice"",    ""Tuna"",    ""Mayonnaise"",    ""Chili Sauce"",    ""Seaweed"",    ""Avocado"",    ""Cucumber"",    ""Sesame Seeds"",    ""Rice Vinegar"",    ""Sugar"",    ""Salt""]"
103,104,Healthy,Superfood Power Bowl,9.75,9f6b0,"[    ""Quinoa"",    ""Spinach"",    ""Chicken"",    ""Avocado"",    ""Broccoli"",    ""Tomato"",    ""Cucumber"",    ""Blueberries"",    ""Almonds"",    ""Lemon"",    ""Olive Oil"",    ""Salt"",    ""Pepper""]"
